id;document;name;phoneNumber;birthDate;state;gender;filial
68;43293565549;Catarina Pereira;(73) 7681-6002;19760728,;Roraima;mulher;filial_2
69;30711807777807;Dr. Sr. Ivaneide Pereira;(36) 4642-5399;19641029,;MT;homem;filial_2
70;83222535752;Dr. Valdivini Batista Neto;(10) 6079-9665;19630303,;MA;homem;filial_2
71;25443239732;Nahashon Albuquerque;(52) 5725-9419;19681013,;AP;homem;filial_2
72;37416690242;Alcione Braga Filho Jr.;(77) 35722-1184;19881115,;Tocantins;homem;filial_2
73;68534790418;Dr. Ivanildo Braga;(20) 04322-0444;19780423,;Roraima;mulher;filial_2
74;66342504997;Dirce Carvalho;(96) 22553-1163;19730414,;Tocantins;mulher;filial_2
75;75279314773;Helena;(53) 09274-4210;19710310,;PI;homem;filial_2
76;69071812669;Dr. Minervino Oliveira;(27) 65134-3484;19660303,;AM;homem;filial_2
77;153.682.836-01;Aflaudizio Oliveira Neto;(53) 6046-1781;19660617,;BA;mulher;filial_2
78;46400406280;Srta. Atleta Batista;(68) 8103-3648;19720802,;Ceará;homem;filial_2
79;35163385399;Sr. Gildete Santos;+55 (82) 1840-3012;19860830,;Rio Grande do Sul;mulher;filial_2
80;36804063635;Nelso Saraiva Filho Neto;(48) 92033-3028;19820923,;Maranhão;;filial_2
81;468.224.335-70;Nilcea Filho;(12) 77008-8681;19710217,;BA;mulher;filial_2
82;76272156766;Gilbertiana Braga;(07) 1716-2106;19691225,;BA;mulher;filial_2
83;35653196150;Sr. Almeida Batista Jr.;+55 (80) 6451-9884;19620629,;Maranhão;mulher;filial_2
84;10376398124;Yvonne Moraes;+55 (05) 5245-0869;19790627,;MS;homem;filial_2
85;16357070363609;Celmo Moreira Neto;(74) 9022-6661;19721020,;Paraná;mulher;filial_2
86;57160333813201;Sra. Walker Carvalho;+55 (34) 3837-4007;19750725,;MT;;filial_2
87;890.032.357-16;Ludyenne Franco;(92) 5326-2411;19681125,;Acre;homem;filial_2
88;065.214.783-62;Srta. Louise;(97) 11241-1952;19740518,;Mato Grosso;homem;filial_2
89;38685063140;Issam Oliveira Filho;(98) 84355-9336;19890720,;SC;homem;filial_2
90;636.711.386-02;Sr. Nigusse Martins Jr.;(41) 73042-1313;19720930,;CE;;filial_2
91;045.225.802-23;Sra. Helena Martins;+55 (65) 7273-7547;19731028,;BA;;filial_2
92;76616870111;Dr. Gabrielle Moraes;(00) 6199-4712;19840222,;Paraíba;homem;filial_2
93;56476203290;Srta. Sara Neto;(47) 31777-9021;19651216,;BA;homem;filial_2
94;42.340.715/7661-36;Srta. Gabrielle Moreira;Integração;19861006,;Bahia;;filial_2
95;75186400823;Srta. Messias Souza Filho;+55 (64) 3649-5472;19790919,;Amapá;homem;filial_2
96;44.026.503/3370-92;Orides Carvalho Jr. Neto;(41) 11804-2177;19630730,;Rondônia;mulher;filial_2
97;17470343555;Sr. Josue Silva;+55 (90) 6499-5427;19720501,;AP;mulher;filial_2
98;515.543.852-70;Sra. Edio Costa;(41) 2473-7309;19801103,;Rondônia;;filial_2
99;24261182371447;Walker Braga Jr.;(24) 3789-9724;19860424,;Tocantins;homem;filial_2
100;241.766.277-94;Teomar Saraiva Neto;(68) 83185-5114;19830629,;Paraíba;homem;filial_2
101;89659588577;Sra. Katias Melo;(69) 2510-3668;19790312,;Minas Gerais;homem;filial_2
102;637.175.734-20;Sr. Jurataí Melo;(13) 35232-1022;19850706,;PA;mulher;filial_2
103;34669293427;Dr. Donisete Costa;(26) 6055-1647;19811224,;Sergipe;homem;filial_2
104;83997728283;Geny Batista;(66) 9093-3341;19731112,;Piauí;homem;filial_2
105;52734376792;Vanessa Batista Jr.;(38) 71203-2667;19680820,;Paraíba;;filial_2
106;26317668817;Sr. Srta. Moacyr Moraes;(47) 07650-0551;19861126,;RN;;filial_2
107;688.401.650-70;Sr. Zildine;+55 (39) 4370-5295;19830720,;MA;homem;filial_2
108;244.227.721-20;Ronnie Moraes Jr.;(65) 95543-7618;19850701,;CE;mulher;filial_2
109;16240310271141;Joseilton;+55 (60) 0324-3143;19751225,;São Paulo;homem;filial_2
110;42799641067;Dr. Celsi Franco;(65) 0422-1918;19871013,;MA;mulher;filial_2
111;813.118.966-00;Srta. Mercedes Moreira Filho;+55 (44) 1610-4656;19891128,;Santa Catarina;homem;filial_2
112;31406118828278;Dr. Devair Macedo;(78) 19974-9472;19850709,;GO;homem;filial_2
113;07605647588746;Eva Macedo;+55 (28) 6100-3100;19750913,;RS;;filial_2
114;05664558709;Rucy Macedo;(70) 6343-7110;19880830,;AP;;filial_2
115;68885886701;Abdias;(35) 30138-9227;19740309,;Espírito Santo;homem;filial_2
116;84043234036054;Elizabeth Silva;(61) 04740-4483;19620608,;PE;mulher;filial_2
117;01748205208880;Sr. Junho Oliveira Neto;(24) 14324-9723;19790826,;Sergipe;mulher;filial_2
118;86345779296;Eloisa Saraiva;(96) 0943-5361;19840516,;AL;mulher;filial_2
119;51802008100085;Leticia;(92) 15689-1968;19740103,;PE;;filial_2
120;71488621080;Josuelito Costa;(83) 72049-3524;19860520,;MS;homem;filial_2
121;88148836531117;Heliberto Albuquerque;(45) 9256-6355;19711022,;AC;homem;filial_2
122;98388074008;Eva Macedo Filho Jr.;(56) 1816-4949;19760421,;Paraíba;homem;filial_2
123;169.846.267-06;Elenita Moraes Jr. Jr.;+55 (47) 4440-8486;19740413,;Bahia;mulher;filial_2
124;71863264202178;Sra. Ilza Costa Filho;(43) 66741-5870;19790322,;Maranhão;homem;filial_2
125;665.933.135-21;Marilena;(49) 95157-0235;19860311,;Sergipe;homem;filial_2
126;147.379.333-50;Milorad Moreira;+55 (34) 2164-1632;19770613,;Pará;homem;filial_2
127;26771773230;Sr. Amílcar Reis Filho;(01) 69860-3167;19880723,;Distrito Federal;;filial_2
128;852.182.846-29;Josiane;+55 (39) 3640-9548;19790909,;RR;mulher;filial_2
129;34415864333;Srta. Ilço Costa;(25) 02734-5734;19670911,;Rio de Janeiro;homem;filial_2
130;430.048.123-71;Terezinha Franco;+55 (09) 6110-8416;19630209,;Mato Grosso;homem;filial_2
131;78856331371016;Erineide Martins;+55 (25) 9329-4844;19631011,;Maranhão;;filial_2
132;56858418687;Zenilde Souza;+55 (72) 4516-1434;19830121,;SP;homem;filial_2
133;20140055800143;Doracy Reis Neto;+55 (98) 9785-3314;19740107,;Bahia;mulher;filial_2
134;45656628841;Sr. Arlette Saraiva Jr.;(69) 31710-3174;19740817,;Rondônia;;filial_2
135;38050141985;Srta. Branca Filho;(08) 75762-6962;19730702,;MS;homem;filial_2
136;047.822.114-22;Abdias Santos;(24) 4963-9441;19791107,;São Paulo;homem;filial_2
137;75833832268;Misao;+55 (31) 9846-4157;19820907,;ES;mulher;filial_2
138;02225862656;Srta. Quimie Franco Neto;(80) 3260-3034;19730924,;Distrito Federal;homem;filial_2
139;944.352.812-60;Gedeon;(13) 3228-4334;19890616,;Ceará;homem;filial_2
140;08120136264047;Célia Reis Neto;(85) 53568-4967;19800318,;São Paulo;homem;filial_2
141;61492575410;Rui Pereira;(96) 4177-5533;19670305,;Espírito Santo;homem;filial_2
142;528.155.853-67;Lusimeire Barros Neto;(13) 54225-2346;19680615,;MT;mulher;filial_2
143;79343081596;Misao Pereira;+55 (89) 2348-9180;19800627,;Piauí;mulher;filial_2
144;088.542.073-06;Condeci;+55 (00) 6908-7841;19671007,;PE;homem;filial_2
145;54063261476;Idinei;(77) 74101-9949;19630405,;Rio Grande do Sul;homem;filial_2
146;34.217.154/1307-99;Dr. Adeilson Braga Jr.;(70) 28676-8897;19820911,;Rio Grande do Sul;homem;filial_2
147;63528623613595;Raimunda Nogueira;(06) 8665-4002;19891101,;Ceará;mulher;filial_2
148;98257676420;Candida Saraiva;+55 (14) 7288-6551;19790402,;Minas Gerais;;filial_2
149;64.347.360/2168-24;Dr. Celestino Braga;(79) 3641-4864;19780502,;Mato Grosso do Sul;homem;filial_2
150;33498461818;Irismar Barros;(25) 63795-8200;19840804,;Pernambuco;homem;filial_2
151;21992573476;Marco Franco Jr.;+55 (72) 6414-2400;19870430,;PI;homem;filial_2
152;71553080770851;Sabrina Moreira;+55 (44) 7735-7772;19810221,;DF;homem;filial_2
153;75865361635;Srta. Edevaldo;+55 (41) 6093-8178;19621004,;PB;homem;filial_2
154;78345582343687;Jocivaldo;+55 (50) 2762-0613;19851010,;SC;homem;filial_2
155;37423101721320;Jeosadaque Xavier;(05) 15379-8581;19870105,;Santa Catarina;;filial_2
156;277.256.694-34;Joseilton Xavier;(23) 38992-4436;19741031,;Pará;homem;filial_2
157;73227154706;Ericio;+55 (97) 1749-4687;19890711,;Rio Grande do Sul;homem;filial_2
158;38.565.855/8635-05;Álide;+55 (77) 9513-3663;19720125,;Santa Catarina;homem;filial_2
159;55731032459;Lígia Carvalho;(15) 1923-8136;19700915,;MA;mulher;filial_2
160;46515138164;Consuelo Albuquerque;(00) 0871-7401;19680808,;Maranhão;homem;filial_2
161;43511857082;Jonelice Carvalho Filho;(20) 80090-9756;19680826,;Paraná;homem;filial_2
162;109.155.576-14;Dr. Mauro;(80) 6062-8869;19801216,;CE;homem;filial_2
163;88586663646;Izamar Saraiva Jr.;+55 (50) 7280-1820;19820627,;AL;homem;filial_2
164;55783650510;Sr. Thomaz Santos Neto;+55 (67) 1864-0152;19740217,;Distrito Federal;homem;filial_2
165;486.897.872-16;Constantino Macedo;(41) 43505-1902;19800712,;MT;homem;filial_2
166;25184486402;Dr. Dr. Rosangela Braga;(91) 79066-6150;19680510,;Pará;homem;filial_2
167;43176541022238;Sr. Bizunish Pereira;+55 (52) 9485-0148;19781225,;Rio Grande do Sul;homem;filial_2
168;98894437400;Srta. Erica Moraes Neto;+55 (76) 1996-0910;19660123,;RN;mulher;filial_2
169;45.584.237/8776-09;Deborah Moraes Filho;(15) 41998-2620;19830122,;MS;homem;filial_2
170;14448612201;Lili Carvalho;(24) 6546-2796;19670617,;RR;homem;filial_2
171;36579578718;Srta. Nilda Moraes;(00) 3196-7508;19620926,;GO;mulher;filial_2
172;21.720.777/4866-72;Srta. Cristiana Moraes;(37) 91578-1216;19821031,;Bahia;homem;filial_2
173;155.026.276-91;Aurelio Moreira;(86) 0406-2128;19830721,;PB;mulher;filial_2
174;74337238034;Virgínia Batista;(19) 2125-8085;19870914,;RS;mulher;filial_2
175;72021837300;Veber Braga Filho;(97) 9832-6177;19810427,;Espírito Santo;mulher;filial_2
176;788.835.218-97;Ambrosina Moreira Neto;+55 (32) 2823-3049;19830204,;Piauí;homem;filial_2
177;46336416119;Cesaltino Franco;(74) 9452-0583;19811228,;PB;homem;filial_2
178;64.713.784/0140-57;Sra. Odemar Albuquerque;+55 (48) 1110-8079;19881116,;Tocantins;mulher;filial_2
179;51110264533897;Ed Moraes;(30) 05705-1524;19630211,;Amapá;homem;filial_2
180;80381140431;Nilsa Franco;+55 (40) 5196-7814;19710206,;PB;mulher;filial_2
181;854.256.434-03;Leone Carvalho Filho;+55 (29) 3785-3975;19861120,;AC;;filial_2
182;68380177514394;Sr. Goretti Batista;+55 (76) 9586-2731;19870527,;Sergipe;;filial_2
183;64331782786;Arthur Moraes;Segurança;19660627,;BA;mulher;filial_2
184;62840385260;Ruy Carvalho;(28) 11265-4866;19870205,;Pará;;filial_2
185;760.260.956-59;Sr. José Pereira;(05) 4144-6722;19880703,;CE;mulher;filial_2
186;241.186.547-33;Judith Saraiva;(22) 4522-9999;19731226,;Bahia;homem;filial_2
187;71484080481497;Karen Carvalho;+55 (35) 7261-9003;19840409,;Piauí;mulher;filial_2
188;89572524950;Srta. Bolívar Oliveira Filho Filho;+55 (82) 4822-8713;19751204,;RO;mulher;filial_2
189;88670225123;Romeu Moreira Jr.;(13) 2297-2583;19650314,;DF;homem;filial_2
190;324.995.145-58;Srta. Aurindo Reis;+55 (12) 5250-5079;19630625,;Pará;mulher;filial_2
191;302.567.365-61;Dr. Floraci Moraes Jr.;+55 (94) 0856-0154;19790314,;Alagoas;mulher;filial_2
192;42738265502;Josenilde Martins Neto;(28) 0361-2140;19651105,;Pará;mulher;filial_2
193;974.454.554-26;Matias Moreira;(96) 4854-7453;19841130,;DF;homem;filial_2
194;815.313.702-68;Sra. Tabajara;(12) 83155-3825;19821212,;Amazonas;homem;filial_2
195;46.468.314/4731-01;Mirabel Moraes Filho;(07) 01071-4806;19710905,;MS;mulher;filial_2
196;558.310.235-75;Wan Santos;(06) 64741-6057;19800131,;Maranhão;homem;filial_2
197;934.314.614-09;Sra. Toyoko Moraes;(70) 9144-7756;19850704,;Maranhão;mulher;filial_2
198;51037778278;Mailde Jr.;Intranet;19650529,;PB;;filial_2
199;61419389068;Dr. Dulce Macedo Filho;+55 (77) 6200-9449;19890524,;PI;;filial_2
200;89662237291;Sra. Edgar Barros Filho;(66) 94020-7977;19740214,;Bahia;;filial_2
201;656.133.436-16;Srta. Naiorama Barros;(06) 8014-5343;19881024,;RS;;filial_2
202;85366770580;Sra. Vladia Saraiva;+55 (40) 2445-6837;19650128,;Mato Grosso do Sul;mulher;filial_2
203;443.273.150-87;Izamar Moreira;(46) 9573-3729;19840817,;MT;mulher;filial_2
204;66617376978;Sra. Elioenay Braga;(54) 4917-0976;19731016,;Pernambuco;;filial_2
205;148.167.921-04;Toshio Carvalho;(29) 12996-1349;19630916,;MA;homem;filial_2
206;41738510735;Branca Reis Filho;+55 (54) 6166-7123;19880323,;CE;homem;filial_2
207;54502755281;Gumercindo Pereira Filho Filho;(62) 2816-4058;19840713,;Rio de Janeiro;mulher;filial_2
208;03512363415;Alex Xavier Filho;+55 (01) 1480-7737;19870303,;Distrito Federal;mulher;filial_2
209;40502413546400;Max Pereira Jr.;(80) 36733-1028;19870602,;Distrito Federal;homem;filial_2
210;50822774464750;Brigida Saraiva;Mercados;19820515,;MT;homem;filial_2
211;91653781807;Sr. Eder Souza;+55 (84) 2051-8900;19760926,;RO;;filial_2
212;05284810104009;Vanderlene;(53) 2517-4971;19840402,;Rio de Janeiro;;filial_2
213;20365751103;Naoko Saraiva Jr.;Prestação de contas;19810820,;RO;homem;filial_2
214;72.778.638/7403-67;Wanderli Saraiva;(98) 52509-3322;19640212,;Espírito Santo;;filial_2
215;733.514.695-00;Sr. Melisa Macedo Filho;(88) 1853-1068;19691017,;Pernambuco;homem;filial_2
216;68824505473860;Sany Carvalho Neto Jr.;(07) 6355-3873;19720926,;Distrito Federal;homem;filial_2
217;37.721.280/1023-04;Adijonson Jr.;+55 (63) 4287-0135;19880109,;Santa Catarina;mulher;filial_2
218;71803440287;Belmiro Reis;+55 (05) 1421-3218;19840911,;Ceará;mulher;filial_2
219;64550228304005;Srta. Aide Barros;(99) 9569-4855;19750124,;Distrito Federal;mulher;filial_2
220;388.371.853-08;Jotacir Costa Neto;(71) 0533-8985;19690321,;Mato Grosso;mulher;filial_2
221;22133518487;Martelenes Barros Jr.;+55 (16) 4921-2640;19760223,;Goiás;mulher;filial_2
222;747.474.442-20;Srta. Nora Reis;(53) 8780-1443;19650123,;SP;homem;filial_2
223;45717925301;Sr. Olimpio Moraes;+55 (10) 2084-9962;19870602,;Piauí;;filial_2
224;576.859.153-24;Claudineia Carvalho Filho;+55 (03) 3010-9459;19780114,;PB;;filial_2
225;18130525143;Cristiana Martins;(12) 2001-3122;19860524,;Maranhão;mulher;filial_2
226;86743002607;Dr. Hermenegildo Melo;(84) 55841-0542;19640527,;SP;mulher;filial_2
227;856.974.503-62;Srta. Sirlene Nogueira;(15) 7895-5932;19871004,;PR;homem;filial_2
228;06015603784551;Sra. Dr. Jeane Silva Filho;(23) 4171-7299;19630909,;Ceará;mulher;filial_2
229;15845436578231;Srta. Dan Oliveira Jr.;(14) 4015-5335;19840420,;Amapá;;filial_2
230;77454975585;Yang Pereira Jr.;(09) 54797-0804;19631228,;Mato Grosso do Sul;homem;filial_2
231;32383989380;Bonifácio Moraes;Mobilidade;19680414,;PE;;filial_2
232;66029884506;Adelmo Martins;(11) 89916-1616;19771026,;RJ;homem;filial_2
233;36689878406;Nailton Franco;(49) 4263-5338;19760616,;CE;;filial_2
234;12811273700;Sr. Rejane Santos;(37) 44255-5200;19640901,;RR;homem;filial_2
235;987.573.392-01;Sr. Rozirene Reis Filho;(27) 4118-8234;19820119,;RR;mulher;filial_2
236;63557216225;Vlademir Barros;(35) 0397-4181;19700305,;Santa Catarina;homem;filial_2
237;24514533203;Srta. Yuri;(66) 1033-6047;19811029,;PE;mulher;filial_2
238;884.476.518-78;Dr. Valdemilson Nogueira Jr.;(50) 6644-4240;19880503,;Amapá;homem;filial_2
239;26844165404;Sr. Arlete Jr.;(49) 3472-5521;19710810,;PI;homem;filial_2
240;61153238438;Tomás Pereira;(57) 2685-0186;19811003,;AM;homem;filial_2
241;50137829108;Sra. Marli Santos;+55 (05) 1810-2203;19850314,;PR;;filial_2
242;65336112755;Marcilio Nogueira Neto Jr.;(16) 85298-2346;19730413,;AL;mulher;filial_2
243;07615543860;Srta. Magali Batista;+55 (57) 3412-5813;19820412,;Tocantins;homem;filial_2
244;738.961.683-04;Sr. Lourdes Moraes;(36) 4788-1709;19691207,;Acre;homem;filial_2
245;310.512.483-70;Jorselino Carvalho;+55 (27) 5257-3813;19670321,;Goiás;;filial_2
246;46537028884;Sra. Jorselino Costa;(54) 62892-7065;19760507,;MA;homem;filial_2
247;38374237350;Odineide Pereira;(37) 80779-6150;19880730,;RR;;filial_2
248;113.348.323-23;Josafá Costa;(08) 3524-1655;19820718,;Santa Catarina;mulher;filial_2
249;776.274.224-77;Christina Barros;+55 (43) 5743-0636;19641106,;Distrito Federal;mulher;filial_2
250;05344324847;Sr. Antony Melo;(10) 09283-8704;19710711,;Bahia;mulher;filial_2
251;58065134018541;Sra. Isaura Carvalho;(71) 5529-0694;19720909,;PE;homem;filial_2
252;30331835585053;Sr. Lissette Martins Filho;(42) 8200-3266;19810529,;Pernambuco;mulher;filial_2
253;65523255840;Cíntia Carvalho;(42) 70536-0148;19650404,;BA;homem;filial_2
254;344.056.152-68;Srta. Dernevaldo Silva;(70) 60524-8876;19821110,;PR;mulher;filial_2
255;61470086760;Benedita Saraiva;(62) 96325-4433;19641127,;Paraná;mulher;filial_2
256;74655722312;Rodinei Filho;(86) 5649-4070;19780117,;AP;homem;filial_2
257;27210611886607;Sr. Mércia;(00) 2496-7712;19630108,;PE;mulher;filial_2
258;13776570270;Dr. Sibèlle Moreira Neto;(55) 9149-7003;19840915,;Santa Catarina;homem;filial_2
259;57294883866;Tereza Pereira;+55 (91) 3145-7749;19890531,;RN;mulher;filial_2
260;61174672145;Rogerio Melo Jr.;(08) 7102-9552;19680208,;CE;homem;filial_2
261;12342925484;Anne Carvalho Neto;(30) 6563-6884;19770429,;PE;homem;filial_2
262;28206256733;Arcilio Carvalho;+55 (06) 8514-1595;19820424,;PB;homem;filial_2
263;30468157006229;Sra. Izamar Costa;(99) 2537-3007;19650406,;CE;homem;filial_2
264;455.826.225-60;Isac Braga Filho;Táticas;19660410,;Mato Grosso;;filial_2
265;18787628694;Ilana Moreira;+55 (15) 1063-0331;19780321,;Rio Grande do Sul;mulher;filial_2
266;32544708859;Sr. Adrian Souza Jr.;+55 (37) 7498-8580;19750425,;Pará;homem;filial_2
267;33316805672;Elisia Pereira;Diretivas;19821013,;RR;mulher;filial_2
268;51786524104;Flaviano Barros Jr.;(83) 98605-4504;19840718,;Alagoas;mulher;filial_2
269;96320314664;Dr. Eddy Pereira;(66) 3703-1653;19690502,;Minas Gerais;homem;filial_2
270;32335693603;Srta. Juliane Melo;Qualidade;19810413,;PR;homem;filial_2
271;89972554287;Dulcelene;(14) 2070-1029;19760609,;Alagoas;mulher;filial_2
272;62788682780860;Gentil Moreira Neto Jr.;+55 (22) 4590-8756;19771119,;PE;;filial_2
273;932.718.738-52;Sra. Aminadab;+55 (51) 3697-1183;19890723,;Amazonas;mulher;filial_2
274;30.431.446/8312-11;Jomar;(04) 3510-1015;19671210,;Pará;homem;filial_2
275;845.563.587-87;Mercedes Moreira;(58) 29859-7688;19871212,;Amapá;homem;filial_2
276;781.626.147-02;Alana Neto;(41) 8877-7542;19870910,;Tocantins;mulher;filial_2
277;24821528443180;Olavo Barros;(76) 40075-3988;19670923,;Rio Grande do Norte;;filial_2
278;772.459.951-33;Pascoal Costa Neto;(21) 9424-3433;19640902,;RN;homem;filial_2
279;34791475852;Luciane;(23) 73753-5820;19810526,;Amapá;homem;filial_2
280;73753644862;Joedilson Albuquerque;(42) 2134-0552;19781107,;Acre;homem;filial_2
281;84.158.708/3817-03;Sr. Naoko Xavier Filho;(19) 40531-6055;19711211,;RS;homem;filial_2
282;05221434845275;Jeobson Santos;+55 (50) 4806-4134;19840509,;DF;mulher;filial_2
283;233.915.535-53;Dourivaldo Santos;(26) 9794-4257;19651222,;BA;mulher;filial_2
284;41722352396;Leny Silva Filho;+55 (34) 7554-3038;19710724,;Rio de Janeiro;mulher;filial_2
285;94034277602;Sivonaldo Filho;+55 (66) 3449-2390;19790906,;Distrito Federal;;filial_2
286;23915622338;Attilio Moraes;(00) 23108-7250;19631029,;Bahia;mulher;filial_2
287;87921650600;Cristiana Reis;+55 (70) 7432-8187;19671207,;PR;mulher;filial_2
288;83.065.468/4525-05;Loide Neto;(87) 9096-8404;19730605,;PA;homem;filial_2
