id;document;name;phoneNumber;birthDate;state;gender;filial
67;95716720684;Joyce Neto;(34) 6035-2595;30-07-1985;PR;;filial_3
68;83491815169;Anselmo Carvalho;+55 (98) 9416-0044;25-07-1968;MS;feminino;filial_3
69;35513111020;Sra. Aílton Carvalho Neto;(43) 98594-6686;22-06-1979;São Paulo;masculino;filial_3
70;212.753.291-01;Sra. Edinei Souza Jr.;(90) 9779-2835;06-06-1976;Goiás;feminino;filial_3
71;14.566.501/3234-07;Rocio Jr.;(31) 34630-4119;21-09-1966;Minas Gerais;masculino;filial_3
72;342.465.338-15;Leny Santos;(46) 0836-7980;07-12-1979;Maranhão;masculino;filial_3
73;48659133277;Anatalia Martins;+55 (11) 2387-1663;05-06-1981;Mato Grosso do Sul;masculino;filial_3
74;59844886120;Cláudio Moraes Filho;(52) 1570-6868;18-04-1971;Minas Gerais;masculino;filial_3
75;668.524.106-33;Heloisa Albuquerque;(07) 16406-5034;10-09-1973;Rio Grande do Sul;feminino;filial_3
76;63587225060;Rose Batista;(40) 93711-0549;20-05-1974;Goiás;feminino;filial_3
77;04334157467;Melissa Braga Jr.;(03) 2187-8940;01-11-1967;BA;feminino;filial_3
78;273.501.667-61;Heleno;(59) 32742-7046;20-01-1964;São Paulo;masculino;filial_3
79;87123601086384;Cicero Santos;+55 (75) 4197-4692;05-06-1982;MA;masculino;filial_3
80;65411891701;Li Silva Neto;+55 (29) 8220-1874;08-07-1986;Distrito Federal;feminino;filial_3
81;056.707.545-14;Italo Carvalho;(27) 6277-0502;09-07-1979;PE;masculino;filial_3
82;95517881840;Darcy Braga;+55 (20) 4187-2794;04-06-1971;RR;feminino;filial_3
83;256.151.432-31;Srta. Elienai Moraes Neto;+55 (61) 9865-0286;14-06-1980;Ceará;masculino;filial_3
84;146.673.349-75;Sra. Thaisa Moreira Filho;+55 (63) 5373-0708;19-08-1968;PI;masculino;filial_3
85;324.459.233-36;Dr. Dr. Allysson Souza;(20) 6216-4423;26-10-1969;CE;feminino;filial_3
86;846.118.956-61;Eustaquio Melo Filho;(70) 40844-9069;28-07-1988;Minas Gerais;;filial_3
87;81735254015181;Martin Moraes Jr.;(19) 1199-1589;07-12-1974;PI;;filial_3
88;53.632.450/6008-61;Praxedes;+55 (77) 5997-2974;12-10-1976;RS;masculino;filial_3
89;25608177304;Sra. Nanci Souza;(87) 44565-7446;27-12-1974;Tocantins;;filial_3
90;11.624.660/2802-60;Hector Moreira;(61) 89318-2259;05-01-1979;PI;feminino;filial_3
91;01051382246578;Srta. Evely Costa;+55 (45) 6112-7454;12-07-1986;MS;masculino;filial_3
92;356.941.424-89;Amando Saraiva Filho;(23) 89547-0523;02-07-1981;AM;masculino;filial_3
93;46.478.674/2184-02;Hiromi Batista;(06) 3817-7499;05-06-1980;Minas Gerais;masculino;filial_3
94;897.423.835-70;Marilene Souza;+55 (88) 4383-6025;07-06-1979;RO;feminino;filial_3
95;739.870.613-83;Rosemeire Martins;(61) 36378-7866;26-02-1968;DF;masculino;filial_3
96;27636440847784;Sr. Mariella Braga;+55 (92) 2831-7004;18-05-1978;Amapá;;filial_3
97;23876268699;Sr. Marta Xavier Filho;(35) 5041-0077;14-05-1985;Rio Grande do Norte;masculino;filial_3
98;37811939770;Dr. Roberson Carvalho;(64) 60134-4936;27-01-1975;Pará;feminino;filial_3
99;61235767558;Maurivon;(56) 84308-4977;07-10-1976;Roraima;;filial_3
100;92741777632;Marizete Neto;+55 (51) 2273-3869;16-06-1972;RO;;filial_3
101;33683552794;Giovane Moreira Jr.;(09) 89878-3551;16-03-1985;ES;feminino;filial_3
102;54871848604;Guido Macedo;+55 (99) 1958-3152;11-11-1983;CE;feminino;filial_3
103;50128728000;Dr. Srta. Sady Santos Jr.;(74) 37843-2420;16-06-1987;PR;feminino;filial_3
104;656.312.267-15;Alexandra;+55 (17) 2514-1398;20-08-1968;PE;masculino;filial_3
105;536.106.737-70;Cláudio Melo Neto;(24) 87641-3953;05-04-1962;Mato Grosso;feminino;filial_3
106;90078496110;Sr. Bruno Batista Neto;(18) 1395-6891;20-01-1976;PE;masculino;filial_3
107;54127681055;Viviana Melo;+55 (46) 2817-0536;25-12-1965;Paraná;feminino;filial_3
108;03821330624261;Sr. Hilton Barros;(52) 68029-7470;23-07-1974;Sergipe;masculino;filial_3
109;343.072.486-43;Olimpio;Marca;01-04-1968;Bahia;masculino;filial_3
110;61941173039;Wanderli Franco Jr.;(11) 61941-8269;01-08-1963;Amapá;masculino;filial_3
111;72304544762;Clelio Melo;+55 (91) 5862-1670;24-03-1977;Amapá;;filial_3
112;25328767195;Ira Costa;(25) 0399-1081;27-08-1978;SP;feminino;filial_3
113;78753088451896;Emanoel Santos;+55 (51) 4589-1567;05-12-1963;RN;feminino;filial_3
114;691.420.798-45;Wladimir Oliveira;(93) 00904-7427;23-06-1965;Pará;;filial_3
115;374.574.583-36;Munekazu Nogueira Neto;(56) 5085-7236;27-10-1965;AC;masculino;filial_3
116;71008223514;Ernane;+55 (29) 9732-4267;14-12-1986;RR;;filial_3
117;37.475.155/6116-65;Mauro Santos;+55 (79) 5929-6134;19-12-1973;Rio Grande do Sul;masculino;filial_3
118;181.672.488-28;Dr. Durvalino Pereira Filho;+55 (42) 8452-7470;23-12-1986;DF;masculino;filial_3
119;51317661095;Dr. Jiro Silva;(58) 1144-7021;19-12-1970;Goiás;feminino;filial_3
120;221.850.513-42;Zdravko Melo;(95) 6447-7966;17-05-1974;PA;masculino;filial_3
121;12582769509;Srta. Marcel Albuquerque Jr.;(06) 60697-3613;25-03-1970;AL;feminino;filial_3
122;42121780484868;Juscelino;+55 (25) 6655-6395;13-03-1989;Rio Grande do Sul;masculino;filial_3
123;08928221471;Nadir Macedo;(74) 4453-3810;24-08-1963;MS;feminino;filial_3
124;11178662209;Sra. Valeria Souza Jr. Jr.;+55 (57) 8115-2030;29-09-1987;AM;feminino;filial_3
125;582.797.166-96;Idalia Martins Jr.;(72) 5542-5798;01-01-1988;GO;masculino;filial_3
126;87467056354;Orozino Souza;(24) 9692-1189;18-05-1983;AC;feminino;filial_3
127;554.258.126-98;Dr. Mercedes Albuquerque;(20) 95270-2445;02-03-1981;MS;masculino;filial_3
128;63125108675;Janete Moraes;(37) 71563-9721;08-07-1965;PA;feminino;filial_3
129;86346775105666;Sr. Vera Carvalho;(30) 59653-7552;23-12-1984;PB;masculino;filial_3
130;99372719757;Dinês Costa;(61) 4401-4035;12-02-1973;MT;;filial_3
131;518.152.237-82;Hipolito;(74) 7548-3548;29-12-1976;SC;feminino;filial_3
132;74730760458707;Srta. Raul Xavier Filho;(43) 4297-1478;14-09-1980;AP;masculino;filial_3
133;75831025888;Ken Santos Neto;+55 (50) 8667-1273;26-03-1987;Rondônia;feminino;filial_3
134;16.365.670/2453-30;Augusto Saraiva;(10) 78546-0547;20-08-1982;Goiás;feminino;filial_3
135;74843717690;Carolina Macedo;+55 (76) 0766-9027;03-01-1967;AC;masculino;filial_3
136;53365116842;Braz Albuquerque;+55 (26) 2242-7717;19-03-1966;Rio de Janeiro;feminino;filial_3
137;66508171813232;Sra. Elcio;(73) 43052-3649;03-07-1962;RJ;;filial_3
138;07.887.438/2680-70;Telma Saraiva Filho;+55 (45) 1187-2123;03-03-1968;Rio Grande do Norte;feminino;filial_3
139;08506010677865;Dr. Zuleno Macedo;(06) 25096-6007;11-06-1966;ES;feminino;filial_3
140;16147345434293;Manuel Neto;(01) 99015-4502;14-03-1986;Minas Gerais;feminino;filial_3
141;63362523820081;Odisseus Carvalho;+55 (00) 2211-4626;29-09-1965;Mato Grosso;feminino;filial_3
142;75886816593;Sr. Viviana Albuquerque;Mobilidade;01-06-1964;São Paulo;feminino;filial_3
143;80366368308403;Laércio Moraes;(20) 0655-8828;01-08-1983;DF;feminino;filial_3
144;16476347330;Sra. Sra. Vicente Silva;(80) 6205-4511;08-03-1971;ES;masculino;filial_3
145;76515233244497;Dr. Sidclei;(43) 83891-4025;21-01-1987;Rondônia;;filial_3
146;37247865148;Dalmiro Moreira Neto;(60) 65852-1920;23-05-1976;SP;masculino;filial_3
147;48.632.057/6643-05;Ramon Saraiva Filho;(23) 27878-7823;24-02-1969;Rio Grande do Norte;masculino;filial_3
148;39409427231;Sr. Gerd Costa;(67) 9366-9554;06-02-1983;DF;masculino;filial_3
149;27.615.002/2135-60;Renate Reis Jr.;(06) 97025-6984;04-03-1964;Amazonas;feminino;filial_3
150;16075536191;Benedicto;(93) 1424-7341;08-08-1965;Goiás;masculino;filial_3
151;28313634111;Eber Souza;(19) 20733-7258;23-08-1974;PA;masculino;filial_3
152;70122203707205;Maraci Silva Jr.;(19) 7516-6385;01-01-1978;AM;feminino;filial_3
153;88542186508;Srta. Fábio Batista Neto;(52) 4504-8749;24-07-1968;Acre;feminino;filial_3
154;146.318.832-35;Sra. Barbara Reis;(70) 4305-7652;19-12-1973;SP;masculino;filial_3
155;58728733959;Thereza Jr.;+55 (31) 9821-6377;22-10-1965;Ceará;feminino;filial_3
156;542.617.672-87;Natal Saraiva Filho;(35) 46693-7981;24-08-1971;Sergipe;masculino;filial_3
157;17481878722;Sra. Adnilson Martins;+55 (15) 3299-7679;09-06-1977;Paraíba;feminino;filial_3
158;27976470418;Celmo;(72) 45735-1552;13-11-1987;São Paulo;masculino;filial_3
159;97338009376;Sr. Lionson Reis;(73) 21624-7732;19-03-1964;AC;feminino;filial_3
160;20394855973;Danielle Martins;+55 (34) 7269-2739;10-06-1989;PI;masculino;filial_3
161;57897733467;Amaro Nogueira;+55 (28) 6623-6096;10-07-1972;Maranhão;feminino;filial_3
162;63076274767;Altaide;+55 (84) 4153-4832;13-08-1982;Alagoas;masculino;filial_3
163;34184011470;Sr. Francisco Carvalho;(05) 86633-7410;26-01-1970;Ceará;feminino;filial_3
164;87291186978;Sr. Edval;(46) 73930-6627;19-01-1988;Rio Grande do Norte;masculino;filial_3
165;55118469457;Sr. Juarez;(61) 4641-2584;03-02-1976;RJ;;filial_3
166;56573460551470;Sr. Roselia Albuquerque Filho;Comunicações;08-11-1973;AL;masculino;filial_3
167;21.057.777/3328-31;Vinícius Franco;(63) 2662-1670;13-09-1971;AM;;filial_3
168;89244044587;Elisabeth Santos Neto;(45) 07786-6823;22-08-1976;MA;;filial_3
169;45854049619;Dr. Thami Martins;(10) 4511-6100;04-10-1969;Bahia;feminino;filial_3
170;70728288346;Alessandra;+55 (81) 5961-0547;27-04-1969;ES;masculino;filial_3
171;15153514520743;Dr. Sr. Osorio Moraes;(44) 2367-1293;15-10-1962;Paraíba;feminino;filial_3
172;175.527.684-28;Denise;Comunicações;27-03-1977;PE;feminino;filial_3
173;04158815444;Elizabeth Filho;+55 (02) 0082-2981;17-03-1967;AL;masculino;filial_3
174;16003760060500;Enaldyê Reis Jr.;+55 (10) 6531-1172;04-06-1989;Acre;masculino;filial_3
175;62624221530;Eloizo Filho;(59) 96139-2297;28-07-1989;Pará;;filial_3
176;79179668283;Dr. Roselly Macedo;(30) 47450-1094;31-08-1988;RS;masculino;filial_3
177;20639043674;Bernadete Martins;(84) 9851-6903;24-04-1969;Alagoas;masculino;filial_3
178;66118047731;Srta. Elizete Martins Neto;(36) 2303-2834;15-07-1968;CE;feminino;filial_3
179;44711992693;Srta. Robison Silva Filho;+55 (42) 7005-9201;13-10-1981;Mato Grosso;masculino;filial_3
180;43111684890;Dr. Alfredo Costa;(24) 63305-3354;24-05-1972;AM;;filial_3
181;152.849.396-62;Jesus;+55 (25) 7333-2036;13-05-1983;Mato Grosso do Sul;;filial_3
182;41447938690;Dr. Magali;(81) 16315-0504;30-07-1965;Mato Grosso;masculino;filial_3
183;71223630820;Flavia Moraes;(56) 1977-0007;20-12-1977;RR;;filial_3
184;51311612319;Iracy Reis;(16) 0086-5599;15-10-1967;São Paulo;feminino;filial_3
185;70808863722634;Srta. Germino Santos Neto;+55 (52) 4187-6342;14-01-1977;Amazonas;feminino;filial_3
186;06012653458351;Clenio Franco Filho;+55 (15) 9941-3812;05-09-1969;MS;masculino;filial_3
187;41910262161;Fusako Carvalho Neto;(24) 0733-6273;20-07-1965;Tocantins;feminino;filial_3
188;730.166.607-17;Admir Silva Jr.;+55 (38) 3875-6259;09-09-1976;RN;masculino;filial_3
189;42441572040;Averlandson Moreira;+55 (24) 2359-3610;28-08-1966;AM;feminino;filial_3
190;49152225518;Glorineide Souza;(11) 86934-6735;05-11-1973;MT;feminino;filial_3
191;669.856.726-47;Sra. Roselia Macedo;(83) 3860-2270;10-06-1965;PB;feminino;filial_3
192;914.422.823-63;Srta. Altavir;(71) 0619-3644;19-01-1984;Mato Grosso;masculino;filial_3
193;05385057085140;Olga Silva;(20) 8020-2479;14-11-1962;Rio de Janeiro;masculino;filial_3
194;14744347037;Julia Batista;+55 (06) 8142-1127;15-07-1972;Santa Catarina;feminino;filial_3
195;346.788.306-00;Gleisson Xavier;+55 (54) 7183-4687;12-12-1987;Rio Grande do Norte;masculino;filial_3
196;45388218457;Ezequiel Souza Filho;Operações;21-08-1964;BA;masculino;filial_3
197;06.485.342/6878-48;Srta. Hercilio;(59) 7220-4548;02-09-1988;MT;feminino;filial_3
198;28787415798;Dioneia Costa;(58) 4516-2649;29-12-1978;AC;masculino;filial_3
199;64473873382;Izilda Martins Jr.;(62) 24565-5773;26-05-1970;RS;masculino;filial_3
200;53472247541;Sr. Srta. Claudionor Braga Filho;+55 (05) 0740-3967;17-03-1982;Goiás;masculino;filial_3
201;044.784.116-54;Dácio Moreira;+55 (28) 5929-0881;02-09-1974;ES;masculino;filial_3
202;75443636510;Sr. Elenice Silva;(82) 36955-2718;16-11-1972;Piauí;masculino;filial_3
203;16862343344295;Luciana Reis Jr.;+55 (47) 4230-7826;23-08-1970;Rondônia;masculino;filial_3
204;41344231551;Monica Saraiva;+55 (04) 0361-7418;24-12-1981;São Paulo;masculino;filial_3
205;89949756243;Cassia Batista;+55 (60) 9512-5757;03-03-1969;Santa Catarina;;filial_3
206;78846782410;Srta. Rute Melo;(22) 7528-8040;01-10-1989;SC;masculino;filial_3
207;882.534.794-41;Alexandre Jr.;(34) 8586-5736;22-01-1986;GO;masculino;filial_3
208;185.852.308-78;Tereza Silva;+55 (27) 3107-6854;22-09-1968;Pernambuco;masculino;filial_3
209;54650535033574;Dr. Haroldo;(87) 5269-2237;15-05-1982;Mato Grosso do Sul;masculino;filial_3
210;102.762.631-97;Damião Silva;(12) 6300-3364;09-11-1974;ES;masculino;filial_3
211;92238476644;Srta. Valnir Santos;(80) 05724-1337;28-03-1967;Mato Grosso do Sul;feminino;filial_3
212;70358334726754;Osvaldo Carvalho;(03) 89760-6917;27-01-1965;Sergipe;feminino;filial_3
213;564.723.376-75;Joyce Moreira Jr.;(71) 6085-9674;09-02-1987;BA;feminino;filial_3
214;70516046073701;Nadja Costa;(42) 9175-3874;23-12-1965;RO;feminino;filial_3
215;71.551.461/0308-65;Sr. Lara Pereira;(48) 73403-1707;06-10-1964;Minas Gerais;feminino;filial_3
216;34129280384;Sr. Lauro Braga;+55 (47) 0369-7082;05-07-1977;Ceará;masculino;filial_3
217;11304566250;Gioliano Saraiva;(34) 4994-3582;19-02-1973;MT;feminino;filial_3
218;76490097427;Uilton Silva;(27) 1488-9022;02-08-1977;RN;;filial_3
219;258.626.958-69;Marilene Nogueira Jr.;(87) 5447-1076;15-12-1973;BA;masculino;filial_3
220;647.058.155-21;Edmar Moreira;(28) 9905-0093;19-01-1988;ES;;filial_3
221;21627950788;Sr. Ana Costa Neto;(45) 20671-6185;16-03-1976;AC;feminino;filial_3
222;42446816550;Nivon Silva Jr.;(46) 3011-7575;24-03-1964;Mato Grosso do Sul;feminino;filial_3
223;65336758848115;Dr. Vilma Martins;Comunicações;11-06-1975;PR;masculino;filial_3
224;13621512896;Nessim Braga;+55 (14) 4237-4905;21-02-1963;RR;masculino;filial_3
225;85534845774131;Osvalton Franco;+55 (71) 1723-2769;31-01-1964;Rio de Janeiro;feminino;filial_3
226;40444662334383;Sr. Vivian Souza;(14) 14263-1296;18-09-1971;Espírito Santo;masculino;filial_3
227;57.354.168/3213-42;Oswaldo Albuquerque;(91) 0630-8350;13-01-1969;Ceará;masculino;filial_3
228;87446802001422;Sr. Sr. Mikhael Pereira;(67) 21709-5131;09-04-1972;Paraíba;masculino;filial_3
229;236.240.547-83;Dalton Costa;(66) 7281-4140;28-12-1974;Pernambuco;masculino;filial_3
230;87584200451;Marília Costa Filho;(66) 01838-1907;14-04-1989;Alagoas;feminino;filial_3
231;438.974.845-95;Deusimar Melo Neto;(26) 6813-5902;17-03-1969;MS;masculino;filial_3
232;63825548012873;Amanda Batista Neto Jr.;+55 (07) 1287-6772;07-01-1975;Pernambuco;masculino;filial_3
233;96168181717;Srta. Nello Martins Filho;(48) 5780-0175;30-10-1962;PE;masculino;filial_3
234;06.634.036/5836-13;Vinicio Silva;(79) 49576-2884;25-02-1969;Distrito Federal;masculino;filial_3
235;57543062100;Sra. Anne Franco Filho;+55 (73) 0694-7896;06-12-1965;Sergipe;feminino;filial_3
236;10593482255;Guinel Batista Filho;(94) 78796-6767;29-08-1980;SP;feminino;filial_3
237;18361717498;Jarbas Xavier Filho;(04) 36303-2934;03-07-1968;Ceará;feminino;filial_3
238;08051757600733;Gabrielle Moraes;(33) 09492-8789;03-03-1969;Distrito Federal;feminino;filial_3
239;16861857756176;Srta. Sr. Tomiko Albuquerque;(56) 16070-2759;22-05-1982;CE;;filial_3
240;261.814.702-20;Dr. Salin Souza;+55 (40) 7276-7625;18-03-1979;MS;feminino;filial_3
241;71735229270;Sr. Nicolau Silva;(72) 06331-2213;04-07-1968;Rio Grande do Norte;feminino;filial_3
242;11163348600;Zenaide;(17) 79910-1322;12-06-1986;Sergipe;;filial_3
243;098.654.186-90;Jeova Nogueira Neto;+55 (34) 0243-9767;19-07-1981;Goiás;masculino;filial_3
244;463.144.545-90;Eidi Santos;+55 (18) 6083-7749;24-04-1970;Goiás;masculino;filial_3
245;38069048042;Sra. Adenir Pereira Filho;(72) 8183-3263;19-12-1970;BA;masculino;filial_3
246;45225840215634;Dr. Edevado Nogueira Filho;(63) 24818-8691;19-01-1989;Paraná;masculino;filial_3
247;15637403899;Sra. Cirene Melo;(34) 08584-8661;07-05-1962;Rio Grande do Norte;feminino;filial_3
248;16078405535;Andreas Santos Jr.;+55 (00) 1515-8821;02-11-1977;SC;masculino;filial_3
249;21.884.087/4720-03;Clovis;+55 (24) 0949-2634;23-08-1982;SP;;filial_3
250;47.422.806/7077-15;Dr. Dejair Pereira;+55 (18) 5869-4253;08-04-1968;Goiás;masculino;filial_3
251;59656500199;Duarte Xavier;+55 (90) 6107-7490;08-07-1963;Roraima;masculino;filial_3
252;636.420.306-02;Nidia Carvalho Jr.;(31) 0772-2247;17-05-1986;PI;;filial_3
253;77883175432;Demétrio Filho;+55 (32) 5425-5712;08-02-1964;Roraima;;filial_3
254;48667764710;Roberio Costa;(34) 6674-1673;03-01-1974;Sergipe;masculino;filial_3
255;32453268074;Carmem Pereira;(94) 0643-1630;05-04-1969;Roraima;feminino;filial_3
256;658.090.315-52;Ronilton Batista;+55 (32) 1324-5854;24-07-1968;RN;feminino;filial_3
257;76027467754;Ramirez Reis Jr.;(64) 7408-4201;25-05-1984;RR;masculino;filial_3
258;31281357200;Bruna Reis Filho;(63) 98290-5363;16-12-1973;Paraíba;masculino;filial_3
259;09290947276;Joel Nogueira Neto;(54) 31482-6393;04-10-1987;Roraima;feminino;filial_3
260;50343633827300;Dr. Eunice Barros;(91) 9877-7400;20-06-1976;Rondônia;feminino;filial_3
261;18451214142;Cyrus Carvalho Filho;+55 (50) 6202-0327;21-02-1984;Acre;masculino;filial_3
262;714.243.423-68;Dr. Dan Moraes;(29) 39430-6060;15-06-1985;Roraima;feminino;filial_3
263;743.477.646-34;Srta. Iracy Franco;(94) 37543-5870;03-08-1964;MT;masculino;filial_3
264;33486874650103;Srta. Attilio Melo;(72) 1386-1775;05-02-1963;PB;feminino;filial_3
265;14452665209;Dr. Jacob Nogueira Neto;(96) 0772-4159;15-01-1970;Acre;feminino;filial_3
266;70.100.452/7602-73;Edmundo Santos Filho Neto;+55 (66) 3873-3813;20-03-1972;Piauí;feminino;filial_3
267;64.271.481/6822-10;Srta. Kelson Carvalho Neto Filho;(48) 7633-5551;29-01-1981;Acre;;filial_3
268;55805150816;Teófilo;+55 (75) 7910-0233;18-10-1969;PE;;filial_3
269;29108121117;Harumi Franco;(82) 63048-7383;31-12-1966;MT;feminino;filial_3
270;19662658246;Ronivom Pereira Neto;(74) 5242-0535;25-05-1989;Rio de Janeiro;feminino;filial_3
271;11533197725;Alide Carvalho Jr.;(80) 6787-3829;06-11-1972;Bahia;feminino;filial_3
272;48273162362;Sr. Dilson Melo;Qualidade;14-01-1967;Tocantins;feminino;filial_3
273;79444413667;Gláucio Albuquerque;+55 (15) 6624-9862;05-01-1978;RS;masculino;filial_3
